timestamp,source_ip,destination_ip,source_port,destination_port,protocol,action
2023-02-19 02:30:38,12.131.109.40,207.41.6.127,,36427.0,UDP,ALLOW
2023-02-26 09:28:23,202.5.117.199,90.62.237.156,49415.0,41660.0,UDP,ALLOW
2023-02-23 14:20:10,220.56.77.179,232.186.194.71,55121.0,41575.0,UDP,DENY
2023-04-14 01:11:20,215.72.106.56,133.13.254.160,51852.0,49219.0,ICMP,DENY
2023-05-14 22:28:38,,114.210.14.90,55205.0,43128.0,TCP,ALLOW
2023-04-26 14:13:16,176.71.82.136,177.147.172.83,38904.0,37133.0,ICMP,ALLOW
2023-08-09 00:09:30,163.193.177.100,44.78.143.57,53749.0,70000.0,ICMP,ALLOW
2023-08-03 03:19:41,8.45.149.141,195.139.69.145,19607.0,19028.0,UDP,ALLOW
2023-09-12 14:08:13,14.153.211.207,84.106.28.192,7487.0,54335.0,TCP,DENY
2023-08-30 23:22:27,136.69.123.171,185.245.196.46,55522.0,8198.0,TCP,DENY
2023-12-26 11:20:30,77.119.203.147,31.1.87.161,9327.0,25432.0,UDP,DENY
2023-03-24 16:23:24,182.102.121.4,10.120.93.136,37439.0,64983.0,TCP,ALLOW
2023-06-15 10:57:44,198.28.139.65,211.79.206.22,58424.0,12865.0,UDP,DENY
2023-06-29 13:50:19,51.26.255.192,5.177.179.6,12246.0,37275.0,UDP,DENY
2023-03-11 16:49:23,143.142.127.243,203.92.216.102,45302.0,47628.0,TCP,ALLOW
2023-10-22 01:06:21,234.0.74.153,175.80.197.13,8592.0,9058.0,TCP,DENY
2023-11-14 23:41:40,110.243.222.235,139.247.11.33,42319.0,37647.0,UDP,DENY
2023-09-14 03:04:58,113.15.170.149,246.243.231.187,37153.0,21261.0,TCP,ALLOW
2023-07-22 22:13:35,188.154.151.58,62.91.241.53,10508.0,17473.0,TCP,DENY
2023-12-06 02:43:38,229.87.175.11,216.51.97.78,25229.0,60589.0,UDP,ALLOW
2023-10-25 02:23:51,217.206.7.37,216.120.152.124,27117.0,41635.0,ICMP,DENY
2023-10-07 14:32:53,115.152.186.105,140.214.162.3,20989.0,49774.0,UDP,DENY
2023-06-30 04:43:24,125.4.41.235,148.129.20.14,30795.0,30301.0,ICMP,ALLOW
2023-12-08 05:54:33,168.76.90.215,65.131.37.181,56312.0,32180.0,UDP,DENY
2023-04-30 12:02:43,209.200.168.212,217.224.184.108,47551.0,48093.0,ICMP,ALLOW
2023-06-10 23:53:08,96.157.169.125,20.126.189.242,53064.0,27137.0,ICMP,ALLOW
2023-09-23 08:44:50,192.31.75.151,156.207.170.162,55032.0,22448.0,ICMP,ALLOW
2023-12-03 12:40:28,182.235.25.183,253.158.68.198,38535.0,63046.0,UDP,DENY
2023-11-23 08:00:02,72.151.146.127,236.146.149.231,19731.0,11152.0,UDP,ALLOW
2023-05-04 21:25:46,202.241.184.83,58.241.154.232,24615.0,41983.0,UDP,ALLOW
2023-08-18 21:05:39,57.226.137.140,194.77.165.131,33211.0,45361.0,TCP,ALLOW
2023-08-30 09:55:22,253.100.72.203,80.60.163.122,34021.0,50336.0,TCP,ALLOW
2023-08-16 22:35:56,43.86.167.105,210.215.23.132,31753.0,64266.0,ICMP,DENY
2023-01-10 02:16:09,244.191.224.139,211.35.16.121,31499.0,6940.0,UDP,ALLOW
2023-10-21 13:05:29,68.188.95.209,60.217.225.53,48808.0,9199.0,TCP,DENY
2023-02-07 06:00:24,41.201.66.36,141.156.175.27,8354.0,32535.0,ICMP,DENY
2023-11-20 19:11:56,236.248.73.101,3.107.254.186,2735.0,9430.0,UDP,ALLOW
2023-01-22 03:22:55,138.141.120.155,60.183.9.227,52281.0,27363.0,ICMP,DENY
2023-08-27 19:51:11,217.126.139.97,163.110.151.94,26132.0,63753.0,UDP,DENY
2023-09-05 23:56:08,31.56.55.69,54.250.165.3,19723.0,9906.0,UDP,ALLOW
2023-11-04 06:01:37,114.219.223.152,174.208.31.30,54278.0,43780.0,ICMP,DENY
2023-01-28 05:23:49,78.9.43.122,50.151.66.130,7777.0,26085.0,UDP,ALLOW
2023-02-27 09:21:06,242.244.125.49,220.180.241.105,18206.0,11921.0,UDP,ALLOW
2023-04-01 22:26:54,189.159.32.163,91.26.21.248,19149.0,43163.0,UDP,ALLOW
2023-11-22 07:22:48,30.145.206.238,127.73.64.69,47069.0,39427.0,ICMP,DENY
2023-07-01 19:01:01,4.67.4.21,79.133.149.195,23616.0,55255.0,TCP,ALLOW
2023-08-22 11:31:13,58.59.145.1,199.139.30.85,29467.0,64523.0,UDP,ALLOW
2023-06-08 08:22:14,172.71.7.176,175.164.60.125,13164.0,30326.0,TCP,DENY
2023-08-21 05:57:31,51.134.164.224,112.172.211.73,64312.0,34143.0,ICMP,ALLOW
2023-04-20 14:30:40,26.233.198.115,19.67.243.220,64798.0,37139.0,ICMP,ALLOW
2023-02-25 19:04:58,194.249.178.242,186.206.190.79,49307.0,13801.0,TCP,DENY
2023-06-13 20:15:02,37.191.255.41,47.112.80.246,9569.0,48631.0,TCP,DENY
2023-04-12 06:53:20,251.188.221.194,131.93.230.120,62408.0,55234.0,TCP,ALLOW
2023-12-30 08:55:07,216.255.176.222,206.169.97.240,23067.0,13286.0,ICMP,DENY
2023-07-31 20:56:41,158.140.216.110,119.25.58.103,54520.0,54661.0,ICMP,ALLOW
2023-11-29 19:54:09,111.185.99.124,207.39.40.128,44701.0,60360.0,ICMP,DENY
2023-04-02 13:28:26,219.230.14.206,144.226.21.101,36021.0,46888.0,UDP,ALLOW
2023-02-02 03:31:33,94.200.216.32,136.93.208.60,27521.0,56861.0,TCP,ALLOW
2023-06-22 07:18:30,49.50.110.20,187.39.115.109,40373.0,16735.0,ICMP,ALLOW
2023-06-16 17:49:10,222.70.148.35,157.96.144.42,3938.0,55411.0,TCP,DENY
2023-10-03 23:07:19,8.40.63.167,224.46.117.140,10919.0,,UDP,DENY
2023-12-02 07:20:02,205.19.58.85,55.191.142.177,46128.0,2185.0,TCP,ALLOW
2023-07-15 03:27:58,255.213.133.41,65.186.47.44,37525.0,36925.0,UDP,ALLOW
2023-06-08 18:12:50,189.76.181.254,107.178.238.181,37264.0,27485.0,TCP,DENY
2023-11-30 22:58:20,237.190.210.98,238.178.184.120,22992.0,51044.0,TCP,ALLOW
2023-05-30 12:28:32,88.142.136.21,176.202.41.137,16960.0,45593.0,UDP,DENY
2023-06-25 23:31:25,87.145.52.239,216.211.50.9,20765.0,32306.0,ICMP,DENY
2023-08-08 01:33:38,124.18.11.248,29.236.205.13,6544.0,813.0,TCP,ALLOW
2023-08-20 23:37:22,215.171.58.164,246.148.23.193,31551.0,8209.0,TCP,ALLOW
2023-12-01 21:48:13,20.217.24.158,25.74.105.82,15934.0,33648.0,UDP,DENY
2023-11-24 06:38:44,102.54.124.214,96.60.118.81,14611.0,2230.0,UDP,ALLOW
2023-06-09 23:33:50,81.72.225.138,79.105.118.73,25055.0,41508.0,TCP,ALLOW
2023-07-18 00:02:57,,193.153.102.244,868.0,65126.0,TCP,DENY
2023-04-20 19:18:05,86.137.133.245,228.210.84.60,11814.0,24929.0,ICMP,DENY
2023-07-01 06:48:12,246.14.229.153,132.29.211.109,61270.0,15554.0,TCP,ALLOW
2023-03-20 08:12:06,139.50.75.152,92.26.33.206,35452.0,46302.0,UDP,ALLOW
2023-11-21 15:44:38,189.235.144.55,175.129.124.250,3112.0,64969.0,UDP,ALLOW
2023-10-26 07:17:31,15.235.132.61,172.72.123.211,61041.0,56431.0,ICMP,ALLOW
2023-10-15 06:11:46,61.198.37.80,167.59.151.235,49693.0,4149.0,UDP,DENY
2023-06-22 04:21:17,74.93.224.250,112.171.24.212,3428.0,30137.0,UDP,DENY
2023-11-07 21:17:55,175.108.109.122,208.93.169.75,23687.0,65007.0,ICMP,DENY
2023-10-14 14:50:44,167.219.26.57,76.88.143.78,17917.0,21432.0,ICMP,ALLOW
2023-02-06 16:46:27,83.153.223.162,131.33.11.236,6988.0,25604.0,TCP,DENY
2023-01-15 15:45:22,140.173.114.185,118.162.46.84,60279.0,49098.0,TCP,ALLOW
2023-09-03 12:21:08,56.170.95.237,229.250.110.187,44871.0,8594.0,TCP,DENY
2023-09-27 20:13:14,241.127.24.151,134.119.105.222,1788.0,58155.0,,ALLOW
2023-05-06 07:07:50,140.240.152.87,72.90.154.93,15770.0,29669.0,ICMP,DENY
2023-12-02 10:42:45,220.216.72.208,57.154.211.23,11676.0,27619.0,TCP,ALLOW
2023-12-04 08:40:14,81.138.252.187,215.131.90.49,38406.0,55845.0,ICMP,ALLOW
2023-11-01 08:21:52,127.118.42.88,11.211.34.129,789.0,35955.0,ICMP,DENY
2023-06-16 06:56:30,114.210.177.1,236.110.14.84,25674.0,53168.0,TCP,ALLOW
2023-11-03 02:53:14,150.5.199.120,16.229.68.190,21502.0,34377.0,TCP,ALLOW
2023-11-07 09:22:07,232.231.14.170,5.219.200.9,57856.0,9371.0,ICMP,ALLOW
2023-12-26 06:08:46,181.34.253.208,7.216.228.140,49534.0,747.0,UDP,ALLOW
2023-12-27 01:45:12,82.246.34.158,42.184.198.207,39509.0,53368.0,UDP,DENY
2023-04-10 17:53:03,133.232.140.24,69.148.135.145,17481.0,56504.0,UDP,ALLOW
2023-08-19 14:53:12,171.227.158.65,189.29.59.139,3799.0,19920.0,TCP,DENY
2023-04-27 07:37:54,184.152.249.227,196.26.101.137,64316.0,2261.0,TCP,DENY
2023-08-10 20:07:07,157.47.216.51,44.205.127.70,55083.0,18808.0,ICMP,ALLOW
2023-09-12 06:34:50,,196.245.105.84,47491.0,15749.0,UDP,ALLOW
2023-08-24 06:51:36,4.51.78.206,70.51.92.20,1302.0,51971.0,ICMP,ALLOW
2023-12-29 21:35:01,71.70.146.41,56.68.53.6,34664.0,28375.0,UDP,ALLOW
2023-12-15 19:37:56,207.100.249.222,43.19.122.146,50216.0,53523.0,UDP,DENY
2023-02-05 06:13:45,15.206.158.106,27.69.61.245,63938.0,40124.0,UDP,ALLOW
2023-03-06 11:06:54,138.132.13.114,224.174.169.145,51298.0,45616.0,TCP,DENY
2023-02-25 05:46:20,126.92.185.108,148.68.103.71,36800.0,35384.0,,ALLOW
2023-07-06 17:48:12,208.29.168.6,37.106.182.220,44053.0,46248.0,ICMP,DENY
2023-06-23 08:01:30,174.230.98.56,63.177.185.39,15483.0,284.0,UDP,ALLOW
2023-02-05 11:06:19,36.69.228.15,175.235.247.149,12756.0,62938.0,ICMP,DENY
2023-09-14 07:25:45,247.87.136.225,31.174.178.95,23332.0,58136.0,ICMP,ALLOW
2023-11-07 21:40:40,203.221.90.66,216.79.19.13,33345.0,19424.0,UDP,DENY
2023-12-06 18:30:03,241.44.247.214,17.27.57.71,23621.0,57678.0,TCP,DENY
2023-06-22 02:59:44,108.98.237.208,198.71.2.208,58478.0,46914.0,ICMP,ALLOW
2023-06-26 06:34:40,12.232.12.117,70.236.148.169,57371.0,6193.0,UDP,DENY
2023-06-16 07:39:53,165.249.154.157,223.197.90.58,21826.0,51866.0,TCP,ALLOW
